"id","name","origin","move_id"
311614,"DO1208X0033-ST","",377866
311618,"DO1208X0035-ST","",377868
312539,"DO1208X0037-ST","",377894
312540,"DO1208X0038-ST","",377895
315023,"DO1208X0040-ST","",377906
315025,"DO1208X0041-ST","",377907
315860,"DO1208X0042-ST","",377926
315868,"DO1208X0043-ST","",377927
315921,"DO1208X0044-ST","",377928
315929,"DO1208X0046-ST","",377929
315942,"DO1208X0047-ST","",377930
315959,"DO1208X0048-ST","",377931
315973,"DO1208X0049-ST","",377932
315980,"DO1208X0051-ST","",377933
316439,"DO1208X0052-ST","",377937
316448,"DO1208X0055-ST","",377938
317039,"DO1208X0056-ST","",377965
317140,"DO1208X0057-ST","",377967
317914,"DO1208X0058-ST","",377982
317924,"DO1208X0059-ST","",377984
321280,"DO1208X0060-ST","",378017
321283,"DO1208X0061-ST","",378019
322442,"DO1208X0062-ST","",378036
322443,"DO1208X0063-ST","",378037
325021,"DO1208X0064-ST","",378055
325038,"DO1208X0065-ST","",378056
326857,"DO1208X0066-ST","",378064
326862,"DO1208X0067-ST","",378066
328719,"DO1208X0068-ST","",378081
328724,"DO1208X0069-ST","",378082
330805,"DO1208X0070-ST","",378108
330815,"DO1208X0071-ST","",378109
295383,"DO1208Y0001-ST","",377117
299383,"DO1208Y0003-ST","",377118
299513,"DO1208Y0008-ST","",377119
300595,"DO1208Y0010-ST","",377127
300611,"DO1208Y0011-ST","",377129
300613,"DO1208Y0012-ST","",377130
300616,"DO1208Y0013-ST","",377131
300622,"DO1208Y0014-ST","",377132
300631,"DO1208Y0015-ST","",377133
300638,"DO1208Y0016-ST","",377134
300657,"DO1208Y0017-ST","",377135
300661,"DO1208Y0018-ST","",377136
300672,"DO1208Y0019-ST","",377137
300674,"DO1208Y0020-ST","",377138
300678,"DO1208Y0021-ST","",377139
300681,"DO1208Y0022-ST","",377140
300683,"DO1208Y0023-ST","",377141
300692,"DO1208Y0024-ST","",377142
300700,"DO1208Y0025-ST","",377143
300702,"DO1208Y0026-ST","",377144
300706,"DO1208Y0027-ST","",377145
302467,"DO1208Y0029-ST","",377149
302478,"DO1208Y0030-ST","",377150
302492,"DO1208Y0033-ST","",377151
302497,"DO1208Y0034-ST","",377152
302503,"DO1208Y0035-ST","",377153
302509,"DO1208Y0037-ST","",377155
302551,"DO1208Y0038-ST","",377154
308739,"DO1208Y0039-ST","",377221
308770,"DO1208Y0040-ST","",377222
308780,"DO1208Y0041-ST","",377223
308784,"DO1208Y0042-ST","",377224
308785,"DO1208Y0043-ST","",377225
308787,"DO1208Y0044-ST","",377227
308797,"DO1208Y0045-ST","",377228
308805,"DO1208Y0046-ST","",377244
308813,"DO1208Y0047-ST","",377229
308828,"DO1208Y0048-ST","",377230
308837,"DO1208Y0050-ST","",377231
308840,"DO1208Y0051-ST","",377232
308849,"DO1208Y0052-ST","",377233
308858,"DO1208Y0053-ST","",377234
308862,"DO1208Y0054-ST","",377235
308871,"DO1208Y0055-ST","",377236
308891,"DO1208Y0056-ST","",377237
308903,"DO1208Y0057-ST","",377245
308907,"DO1208Y0058-ST","",377238
308911,"DO1208Y0059-ST","",377240
310190,"DO1208Y0060-ST","",377247
310214,"DO1208Y0061-ST","",377248
310225,"DO1208Y0062-ST","",377249
310230,"DO1208Y0063-ST","",377250
310235,"DO1208Y0064-ST","",377265
